Country,y2014,y2015,y2016,y2017,y2018,y2019,y2020,
AUSTRIA,9001,9023,9227,9312,9472,9516,9149
BELGIUM,18207,19811,20616,,,,
BULGARIA,4890,4960,5180,5020,5070,4874,4570
CROATIA,3405,3379,3348,3395,3434,3239,2344
CYPRUS,318,341,365,383,398,388,295
CZECHIA,19129,19530,20475,20322,21272,21604,20122
DENMARK,6110,5970,6200,6060,6040,5862,5874
ESTONIA,1608,1398,1416,1369,1287,1293,1291
FINLAND,4010,3970,4100,4036,3924,3814,3766
FRANCE,19850,20300,20650,21000,22000,22300,21600
GERMANY,95274,95623,94957,93013,93652,91610,87027
GREECE,3700,3820,3827,3800,3933,4075,3377
HUNGARY,6239,5965,6239,6279,6157,5994,5434
IRELAND,7288,7755,7680,8019,8322,8240,7100
ITALY,13521,14286,14516,15700,16448,17288,15829
LATVIA,968,856,739,820,823,764,
LITHUANIA,3172,3108,2999,2727,2904,3124,
LUXEMBOURG,271,287,290,290,293,288,200
MALTA,146,154,170,175,181,186,131
NETHERLANDS,23726,24012,24559,24313,24912,24128,22310
POLAND,40075,40890,41369,40382,41482,40411,39066
PORTUGAL,7290,6465,6474,6994,6758,7103,6589
ROMANIA,14750,15950,15780,16050,16600,16690,16630
SLOVAKIA,2880,2864,3014,3103,2902,3195,3034
SLOVENIA,2098,2029,1696,1399,1973,2021,1960
SPAIN,33614,34888,36344,37391,38134,39516,34692
SWEDEN,4643,4689,4442,4421,4480,4395,4143
TOTAL_EU,346183,352323,356672,356389,363467,362534,341037
NORWAY,2250,2290,2361,2199,2456,2377,2542
SWITZERLAND,3432,3438,3422,3464,3659,3675,3404
TURKEY,10252,9819,9567,9597,9700,8750,8662
UK,41204,41270,38084,40480,40885,39247,32217
TOTAL_ALL,403321,409140,410106,412129,420167,416583,38786
